0,0.6
5.76,-0.15
11,1.58
15.92,0.79
26.41,0.85
30.59,1.56
35.58,1.15
41.39,0.82
46.65,0.07
51.55,-0.66
56.5,-1.03
61.21,-2.27
66.11,0.73
